temperature,humidity,light,voltage
175.2186532,121.2906983,1969.840754,8.568427465
162.0540019,139.2093074,1983.632592,8.696266173
194.7412494,138.4571835,1899.826258,4.604715237
168.9068134,149.1666148,1853.321306,18.59139617
190.8211225,171.3474764,1993.946222,23.22977787
135.6001686,121.7679911,1935.637119,11.81447052
176.3789058,158.3899507,1945.569168,5.266731392
158.2835397,160.9561099,1883.987722,7.311799639
154.2379138,174.6789802,1999.31885,20.75297704
143.6760976,194.6022629,1922.09995,24.04348989
180.6000157,189.8596366,1894.074192,18.21583665
147.001791,151.362084,1948.648849,20.74658796
188.3857463,183.8606573,1868.094567,16.06794751
185.5565496,194.9633113,1917.137877,15.33960565
183.7288072,174.3428951,1865.140694,27.47314769
123.3124666,185.2136885,1914.686082,11.79538084
155.4813946,156.9422503,1952.756354,7.078366344
159.5163078,169.1696532,1870.961249,6.249776521
133.9930689,194.9235184,1922.990052,19.91103479
158.3320965,160.7380886,1966.175283,19.17744284
190.5427788,166.3649956,1909.125048,15.68250768
124.00328,197.6795204,1956.234433,10.45547654
130.8893296,169.3639291,1892.720414,8.05956215
158.0014184,180.8851506,1924.157177,27.71526795
171.3672033,120.1684224,1908.901159,23.62882942
171.5543031,126.6745682,1919.756845,24.50509383
176.1484805,166.403977,1887.244121,5.698200306
178.7811414,144.7427426,1872.051695,19.23977259
163.8385485,188.4476325,1993.829606,15.65095423
130.9091543,170.110144,1929.641438,27.36212936
144.5509779,129.5834265,1931.474384,22.5891245
148.1152833,153.6118701,1985.80869,21.00628132
198.715785,175.1439521,1994.326034,5.47002337
156.5906995,186.8601669,1853.693888,12.20718423
182.438834,193.6893038,1959.884478,21.02649535
173.6846497,198.6653076,1992.684818,24.24417428
127.1510095,188.5095533,1856.189759,23.93565142
124.5512049,122.6404148,1971.247525,9.880961548
123.2055863,179.2715654,1981.223345,6.887740888
145.2980448,159.5181527,1983.494284,19.6856424
124.7117714,116.9011986,1988.075456,29.24817994
145.8226258,158.2355731,1899.596467,25.68812159
145.2795874,141.5957597,1916.023777,9.911558778
158.43379,195.70756,1960.276141,5.52265836
132.0288466,174.3472085,1959.591899,9.761904385
140.2282196,136.1203166,1990.653382,4.803219709
197.7968343,117.9133157,1864.972994,28.83002288
131.8449535,155.2879869,1882.73367,5.977145619
156.6140624,122.3176751,1880.443498,23.42201051
151.8612647,118.9898029,1964.261058,20.01142613
182.6739267,136.6489824,1918.339508,14.60689794
172.7994015,199.9503488,1894.882487,23.58272705
190.102059,174.8450642,1899.648218,14.29883308
